set,L,b,h,alpha,E,epcr,beta_1,beta_2,beta_3,eta_1,eta_2,eta_3,xi,omega,eta_c,n,kappa,eta_s,rho_c,rho_t,iota,psi,rho_x,M_cr
1,1613.8101956683931,119.02714102192087,382.97916757482903,0.7557314800110555,23746.916963180756,0.00017384669542108212,11.709681173959348,21.737003093617119,133.87600005626274,0.031573279702041365,-0.077757033856131932,-0.0024381255993772308,1.2357707749624227,23.29515914206862,-0.0083106758685499334,5.2399472340137834,13.082553705088193,0.050404641815725446,0.002305402193750469,0.013768931299415402,2.8389469391788462,3.6606314312068431,0.004781269142211708,11736263.938339587
2,1836.3228449975725,230.927140922505,152.92339239979901,0.85874700764967804,31832.690399467836,0.00012845072116536761,7.6137751833694258,35.444704135384001,345.99770905862295,-0.094148361883738096,0.0075347630502705758,-0.0011021274393855332,1.4266750300172195,12.727397004636346,-0.039988416676501333,8.0092525848680243,18.897584974799464,0.0027836607628717639,0.0054094888373509842,0.0065707371726675037,0.72552777460364204,7.9473061080922989,0.0035814540845544311,3438263.3134162449
3,1823.2827514438638,291.50243608703499,496.40299961761679,0.84095882668042587,20653.772856524378,0.00019592077080890919,11.833244094908999,51.474986284307121,139.67485190518011,-0.035516556989284916,-0.004073864152657143,-0.0027431868512246284,1.4322966263681156,16.536417686222585,-0.42692109693683539,8.651324503557472,8.0207028458063192,0.026960107588086986,0.0081734494236838338,0.0085846492802890001,2.4147187890796413,7.2930138909809257,0.0041449800790601555,44934461.990876079
4,2908.264844916655,132.73402122500352,347.02138889780269,0.91638300148329055,46985.815722710948,0.0001377548024871954,3.3359142540210112,53.19474085832406,344.86508981777627,-0.10145011760562338,-0.0065157680176134358,-0.00059065597104218247,1.4207437231000124,20.81938398252009,-0.44970152140212372,6.8266243592286795,32.405390023060846,0.17751799032138466,0.0023578949330060246,0.0051262345985288553,1.7717025316097279,6.2824063344340768,0.0015255389729254103,16095066.322058657
5,1571.3132843950564,108.40337064308289,375.66054448160457,0.86355497042771456,38016.965586466016,0.00012257940713301314,10.324213627515615,73.432843551472232,257.44316041526974,-0.083107741352143591,0.004504572640769468,-0.0011606337340326208,1.1457406963800523,21.125448839804292,-0.00022697918691823963,3.0340322500207448,21.698335995605483,0.003829172952932038,0.0044681769824306255,0.014612183282875769,0.25081407057014615,2.183045971554245,0.002940683272450745,11785676.278249549
6,1214.8399626672374,219.25790919600814,250.8185839575375,0.73397136174031474,35548.72100973504,0.00017846644260612158,9.6580391609063252,77.279774503620217,306.86626815002944,-0.065032907413659177,0.0027047817755706288,-0.0018647777307904518,1.1062395404818461,18.418278471428444,-0.081030754011095482,8.4606990958282466,17.504144055032157,0.021793982630429087,0.0032481018255397596,0.020015435211142921,0.63514075342193499,2.2885681326720957,0.0029418542009820659,15094124.155916434
7,1371.1297229282095,283.75707563266758,336.24119981992294,0.82899355296234001,29249.442248757819,0.00011520842731029752,5.8210680728412951,25.513871144023,305.35147872430309,-0.13529683155132027,0.011493151406941108,-0.0019562954381552164,1.0902285869889998,10.472281124501535,-0.013461740952517533,4.5954653021873275,22.411946242485413,0.01035276924015339,0.0031210984933364976,0.0047430332960447085,0.070733822517167755,6.2859953785612621,0.003442383679494232,18057948.201015614
8,3098.3526790733072,246.50018612052466,366.19023526561097,0.8808852968216655,30185.068793364648,0.00010676838120465913,4.4528445740436355,18.360685691277187,218.31626117541734,-0.076765479376143975,-0.0045039526117232427,-0.0022426905590313692,1.2248809867061345,24.568130672262022,-0.080286906944663672,8.9672991436834231,13.038407740295536,0.0021246477728988538,0.005398627652033792,0.014637526265874067,0.41590656729302844,7.3265318130492201,0.0049314479652733936,18141111.996529628
9,3181.2854284570708,289.85425862420016,199.95718333792712,0.74436919799398449,23443.675890536939,0.00016459907320241432,3.9572404883659122,68.991436678634869,318.49458218837776,0.10576440449852749,-0.01699304226315658,-3.6312203440880279e-05,1.0964420010555282,16.869107488645135,-0.38292315352356993,8.7639031384708073,15.45676874409045,0.11094415517918689,0.0096319498022781613,0.011297989452670373,2.4873248302168003,5.7664979327776509,0.001253946509859595,7352066.6642696559
10,2864.5161011216378,232.3920071376827,309.4687866434349,0.80009135406057752,42331.014339017231,0.00013682393638346128,6.6629177068484653,74.908366074400504,158.41105252362286,0.0071197205824022509,-0.0085735009837890619,-0.004576584739818812,1.4190157276208237,16.404654254209948,-0.35853304635888894,5.600163702142634,24.030240910485801,0.10112954802091779,0.0097779576263974273,0.013270055865202227,3.4834610283717371,5.778919952076933,0.0015977339884459606,20081353.34003735
11,2260.4648519969696,183.30611912926395,205.90632849280701,0.8485017996829447,37670.11608002265,0.0001701893622892689,6.1118738238588426,59.953900562056695,343.49523803569883,-0.036045876862725874,-0.010372806039215239,-3.044326931747075e-05,1.0139354749286864,25.665507447482177,-0.060054327242324027,4.1384049814258521,25.269388515841932,0.53199712644322517,0.0051181114049056418,0.020185218992903542,0.6164744906461167,2.0672366536641924,0.0052970687161222685,8646396.0653631669
12,1965.8722305566339,262.15915360803564,371.13076086984404,0.80857177137981884,47243.074629134659,0.00015121376868858894,5.7687234272358197,28.151009834299799,188.6332733250253,0.051156835343945814,-0.043874888826623853,-0.00026141933540141621,1.2345295661726245,12.207283472262237,-0.061473869397273881,6.7702838726413921,36.479291165641584,0.38949261981798211,0.0041455932367812278,0.0077942463680239615,2.1635276166995645,4.4142561584475821,0.0064145315001100708,41487849.378668405
