zone,set,beta,k,M
zone111,1,1.05,0.48824880745228916,14775849.297451219
zone111,1,2,0.48824880745228971,28144474.852288082
zone111,1,5,0.49145539603199961,71767493.793112963
zone111,1,12,0.49388426419549947,174799928.99447453
zone111,1,30,0.49491777297834133,439721818.01650488
zone111,1,60,0.49526129275546626,881253362.53280616
zone111,1,120,0.49543286892247446,1764314605.9696641
zone111,1,250,0.49552204018837875,3677612954.9739327
zone211,1,1.05,0.48800881929420303,14537595.62756148
zone211,1,2,0.45857460784667153,22241904.000232603
zone211,1,5,0.39741569407695126,36134830.759765759
zone211,1,12,0.35051528441743168,62156661.12616238
zone211,1,30,0.32000731311475095,124314527.69168176
zone211,1,60,0.30739281683327058,226285639.96502104
zone211,1,120,0.3004600985065416,429523166.316199
zone211,1,250,0.29666474395851994,869456679.12398756
zone212,1,1.05,0.69651960649846667,41469338.845935799
zone212,1,2,0.60908460195197023,49536929.163794369
zone212,1,5,0.48436871960890343,62224197.289872013
zone212,1,12,0.38129866289645614,77615606.449294031
zone212,1,30,0.3013415576253291,102775484.54720138
zone212,1,60,0.26155259532703701,137595610.21818188
zone212,1,120,0.23666114833901405,202851323.57365325
zone212,1,250,0.22172207907630134,340848309.63196903
zone221,1,1.05,0.91687569584539241,-302041716.13878846
zone221,1,2,0.85328188016120143,-252951385.28148568
zone221,1,5,0.7031055225339059,-142856161.45581964
zone221,1,12,0.51164734723507432,-14820625.492259365
zone221,1,30,0.3474497223730616,113002846.79486413
zone221,1,60,0.3094121248525924,225413998.26337779
zone221,1,120,0.37077088098187339,390466914.32306391
zone221,1,250,0.52143066731524312,663490310.20081961
zone222,1,1.05,0.91981557290760618,-226106780.98150614
zone222,1,2,0.85823604841283563,-183665201.02447906
zone222,1,5,0.71164011067817556,-89862452.838954002
zone222,1,12,0.51992628113994754,12445215.534002775
zone222,1,30,0.33821932505240082,93372947.794329584
zone222,1,60,0.26240848406303097,142816006.84729731
zone222,1,120,0.25775148196595449,211740997.57733411
zone222,1,250,0.33613501476125096,364327288.21930099
zone311,1,1.05,0.88527789250268196,638545030.04695368
zone311,1,2,0.56788425266074027,199842387.14652696
zone311,1,5,0.34367225101635912,11258900.462933499
zone311,1,12,0.35049457282424573,62142116.357608512
zone311,1,30,0.30200493489431912,102658134.66301146
zone311,1,60,0.26984745631082041,151453651.2707721
zone311,1,120,0.24728904403118601,241249453.50430226
zone311,1,250,0.2327741795919773,430794029.7005862
zone312,1,1.05,0.8170428272957373,388691980.4088819
zone312,1,2,0.44360405741983006,811296.74347384216
zone312,1,5,0.45462636661423284,42935925.618710838
zone312,1,12,0.38128091633451955,78343906.284202144
zone312,1,30,0.27973709054472851,81663996.650064871
zone312,1,60,0.20280721466698892,55017737.615441851
zone312,1,120,0.12324801181374345,-27362279.666864049
zone312,1,250,0.018071879494841268,-267675639.40252212
zone321,1,1.05,0.9154661340990079,-358762915.86009938
zone321,1,2,0.85137479880155142,-293795000.41826129
zone321,1,5,0.70161966812639398,-156281308.00696266
zone321,1,12,0.51164419416321383,-14834372.81530394
zone321,1,30,0.33814886749444167,90030053.024435341
zone321,1,60,0.27010345768936622,151388659.48365167
zone321,1,120,0.27655079439075536,236337068.16581991
zone321,1,250,0.38133617881756909,417718962.23486894
zone322,1,1.05,0.91844626144792108,-279144426.24698639
zone322,1,2,0.85637928447370459,-222000129.41527849
zone322,1,5,0.71018322172297821,-102613831.84320645
zone322,1,12,0.51992313745849372,12431783.185955942
zone322,1,30,0.32852114734921872,69182593.889676094
zone322,1,60,0.21796511933785359,54322849.741924793
zone322,1,120,0.12936245572123969,-25797138.375234999
zone322,1,250,0.019542747903769652,-272501907.00583625
zone411,1,1.05,0.79470056406698764,352705489.1726191
zone411,1,2,0.67885462326456691,246238873.79527876
zone411,1,5,0.49434256598015175,119774306.97416906
zone411,1,12,0.36562261987664851,75513622.286713198
zone411,1,30,0.30469805144703133,106110144.21791823
zone411,1,60,0.28751434883762811,186701198.07184914
zone411,1,120,0.28025518809150568,354595284.37920642
zone411,1,250,0.27692937646256688,720747177.27371621
zone412,1,1.05,0.82731033978800372,294051736.60202801
zone412,1,2,0.72546950284369194,222792482.19705051
zone412,1,5,0.5486824715343106,133081614.27682316
zone412,1,12,0.39433073156451476,91132833.346064091
zone412,1,30,0.28301348137943072,85418688.062224016
zone412,1,60,0.23192630791804283,97221879.109405249
zone412,1,120,0.20136511202284815,124226797.89054079
zone412,1,250,0.1834541296931595,182558555.31861892
zone421,1,1.05,0.91902781668919797,-194501982.34020239
zone421,1,2,0.85667650779344662,-163601321.55188853
zone421,1,5,0.70788515271375829,-91492377.41063039
zone421,1,12,0.51407524083774814,-2850287.3046114966
zone421,1,30,0.33947314681668395,93616517.795314476
zone421,1,60,0.28767711062466034,186646293.1396347
zone421,1,120,0.33365635327239263,333237411.56693989
zone421,1,250,0.48077227707613995,592411863.71951652
zone422,1,1.05,0.92190623220236412,-125686159.54535466
zone422,1,2,0.8615410989692569,-99916684.673632234
zone422,1,5,0.71632655141015844,-41142583.039066829
zone422,1,12,0.52234694015029604,24125377.633590017
zone422,1,30,0.32990201843795791,72952934.313946322
zone422,1,60,0.237837127944829,96434363.400416449
zone422,1,120,0.20728648867437494,124276652.72478956
zone422,1,250,0.24813400990218704,198294528.57082528
zone4222,1,1.05,0.92177979866681015,-126956559.61256693
zone4222,1,2,0.8613059072677558,-101161910.72397546
zone4222,1,5,0.71577478080159618,-42351036.341152206
zone4222,1,12,0.52115105034736642,22860590.707543038
zone4222,1,30,0.32732065144853106,71280143.207834631
zone4222,1,60,0.23341904959700058,93965219.411846012
zone4222,1,120,0.20065000475602973,120500688.80547771
zone4222,1,250,0.24367417036110278,195252139.47497708
zone111,2,1.05,0.46520850029453625,5019969.5931312637
zone111,2,2,0.46901238151499314,9784205.333565874
zone111,2,5,0.47150271990486786,24824821.826384004
zone111,2,12,0.47246435268485615,59917383.333125509
zone111,2,30,0.47287531976219921,150154458.64169356
zone111,2,60,0.47301215447098005,300549334.24716675
zone111,2,120,0.47308054293046098,601338991.85796297
zone111,2,250,0.47311609732061277,1253049865.3300614
zone211,2,1.05,0.46493597066115117,4920822.4960334096
zone211,2,2,0.43569194334652062,7543208.1874753321
zone211,2,5,0.36155118432600464,10917619.467724597
zone211,2,12,0.29469140781720421,15193081.109325415
zone211,2,30,0.24404754424844191,23395063.634632938
zone211,2,60,0.21993049447593563,35766459.967280783
zone211,2,120,0.20539963558029159,59770257.811136156
zone211,2,250,0.19693557381838056,111260145.8601746
zone212,2,1.05,0.68129988672766439,16655800.966276702
zone212,2,2,0.59240786707792092,19545237.928998567
zone212,2,5,0.45931506835028579,22598387.953121223
zone212,2,12,0.3381974399154512,22869493.267878633
zone212,2,30,0.22686645816958254,14978576.80893153
zone212,2,60,0.15266833841721256,-10726469.598972237
zone212,2,120,0.077343156465426194,-47236324.136134848
zone212,2,250,0.0063441548517292013,-117479084.97640209
zone221,2,1.05,0.85843729309460604,-48979641.242903247
zone221,2,2,0.76294628394359587,-34002461.101881683
zone221,2,5,0.57188194400776327,-8989852.3235126454
zone221,2,12,0.38069182656717987,10121967.388116324
zone221,2,30,0.25117888614229372,23257988.708221506
zone221,2,60,0.22746432856285576,35926082.474665165
zone221,2,120,0.27968015632266069,66429328.979179986
zone221,2,250,0.42594573951143,165826449.61660472
zone222,2,1.05,0.86581723894023788,-25598021.277084287
zone222,2,2,0.77480115938725458,-12944162.230866801
zone222,2,5,0.59040108820102988,7311468.8075958295
zone222,2,12,0.39754364848477497,19588596.938967388
zone222,2,30,0.2392097871173052,17799972.977298032
zone222,2,60,0.15445156663928747,2840557.6882993612
zone222,2,120,0.079375801480098221,-35866767.409093402
zone222,2,250,-0.030542777240361783,-148995033.71756458
zone311,2,1.05,0.64823950797081609,28088178.951711223
zone311,2,2,0.51573112611976057,17783096.344069958
zone311,2,5,0.36822264513304476,11834961.917043105
zone311,2,12,0.30020165895123219,16234148.490436971
zone311,2,30,0.27519272606868067,34035471.843687735
zone311,2,60,0.26834363013443435,64819207.001145549
zone311,2,120,0.26529438671877287,126668922.19680932
zone311,2,250,0.2638178872545095,260799562.21953422
zone312,2,1.05,0.73980184981848662,31435768.584727876
zone312,2,2,0.62529221702082627,26681920.733630978
zone312,2,5,0.4630055823041731,23499684.518708833
zone312,2,12,0.34244432091211091,24450690.470925961
zone312,2,30,0.26219338847739865,29126643.441957135
zone312,2,60,0.22692648736669663,36586616.380764373
zone312,2,120,0.2065335450031025,51003255.67933736
zone312,2,250,0.19494234124965309,81813701.429704458
zone321,2,1.05,0.86059554901590607,-39224465.226747923
zone321,2,2,0.76528697468869866,-28250177.543252181
zone321,2,5,0.57255298388890852,-8243568.6720257355
zone321,2,12,0.38235723820128481,11143638.377360422
zone321,2,30,0.2764652962659398,33982527.096524492
zone321,2,60,0.29940733213904208,63920117.328435972
zone321,2,120,0.41407322514964207,125560890.5568215
zone321,2,250,0.58013827144627728,278716435.43172312
zone322,2,1.05,0.86786810777840395,-16813145.65212075
zone322,2,2,0.77703118874586674,-7738335.6732429862
zone322,2,5,0.59104572705631808,7997636.7735881191
zone322,2,12,0.39917542864641353,20563667.056760542
zone322,2,30,0.26534219694228695,29034561.475215044
zone322,2,60,0.23640298967867293,36634025.496995807
zone322,2,120,0.27139199504234074,55033412.339131966
zone322,2,250,0.36544767713836646,114017939.3715791
zone411,2,1.05,0.73241375995709834,573474833.90472054
zone411,2,2,0.33423681130716565,53653102.441469111
zone411,2,5,0.25626205274339175,-19153843.199884694
zone411,2,12,0.28638865624315679,11952675.781121407
zone411,2,30,0.27505455299829129,33969161.121454537
zone411,2,60,0.26759847878371806,64233968.702944972
zone411,2,120,0.26301458735091948,123467554.47441274
zone411,2,250,0.26037759111342562,251341398.40911281
